Epoch 0/1000, Train Loss: 1.0537280821800232, Val Loss: 0.4112038314342499, Train Acc: 0.55625, Val Acc: 0.8600000143051147
Epoch 10/1000, Train Loss: 0.47543586254119874, Val Loss: 0.2657248377799988, Train Acc: 0.7725, Val Acc: 0.8650000095367432
Epoch 20/1000, Train Loss: 0.402772371172905, Val Loss: 0.24722500145435333, Train Acc: 0.79625, Val Acc: 0.875
Epoch 30/1000, Train Loss: 0.3788089245557785, Val Loss: 0.23954103887081146, Train Acc: 0.80375, Val Acc: 0.8849999904632568
Epoch 40/1000, Train Loss: 0.35203117966651915, Val Loss: 0.2343960404396057, Train Acc: 0.82375, Val Acc: 0.8799999952316284
Epoch 50/1000, Train Loss: 0.31760898292064665, Val Loss: 0.2309383749961853, Train Acc: 0.84125, Val Acc: 0.8849999904632568
Epoch 60/1000, Train Loss: 0.29427517116069796, Val Loss: 0.22240252792835236, Train Acc: 0.85375, Val Acc: 0.8899999856948853
Epoch 70/1000, Train Loss: 0.323847761452198, Val Loss: 0.2155042141675949, Train Acc: 0.82625, Val Acc: 0.8949999809265137
Epoch 80/1000, Train Loss: 0.270576565861702, Val Loss: 0.21002645790576935, Train Acc: 0.8675, Val Acc: 0.8949999809265137
Epoch 90/1000, Train Loss: 0.29987240254879, Val Loss: 0.20544633269309998, Train Acc: 0.84, Val Acc: 0.8949999809265137
Epoch 100/1000, Train Loss: 0.25845836907625197, Val Loss: 0.19853898882865906, Train Acc: 0.875, Val Acc: 0.8949999809265137
Epoch 110/1000, Train Loss: 0.25978754490613937, Val Loss: 0.19157007336616516, Train Acc: 0.8775, Val Acc: 0.8949999809265137
Epoch 120/1000, Train Loss: 0.2328072342276573, Val Loss: 0.1882692128419876, Train Acc: 0.88125, Val Acc: 0.8949999809265137
Epoch 130/1000, Train Loss: 0.2510522615909576, Val Loss: 0.18370185792446136, Train Acc: 0.88, Val Acc: 0.8949999809265137
Epoch 140/1000, Train Loss: 0.24679177820682527, Val Loss: 0.18417637050151825, Train Acc: 0.87625, Val Acc: 0.8999999761581421
