Epoch 0/1000, Train Loss: 1.0471488189697267, Val Loss: 0.4925179183483124, Train Acc: 0.5275, Val Acc: 0.8650000095367432
Epoch 10/1000, Train Loss: 0.4705360871553421, Val Loss: 0.2560778558254242, Train Acc: 0.77125, Val Acc: 0.8700000047683716
Epoch 20/1000, Train Loss: 0.37400275766849517, Val Loss: 0.2386808544397354, Train Acc: 0.815, Val Acc: 0.875
Epoch 30/1000, Train Loss: 0.34547478318214414, Val Loss: 0.24311284720897675, Train Acc: 0.825, Val Acc: 0.8849999904632568
Epoch 40/1000, Train Loss: 0.3398201525211334, Val Loss: 0.22818265855312347, Train Acc: 0.81625, Val Acc: 0.8849999904632568
Epoch 50/1000, Train Loss: 0.30763847202062605, Val Loss: 0.21416637301445007, Train Acc: 0.84625, Val Acc: 0.8899999856948853
Epoch 60/1000, Train Loss: 0.3205103677511215, Val Loss: 0.21228188276290894, Train Acc: 0.835, Val Acc: 0.8899999856948853
Epoch 70/1000, Train Loss: 0.30537750959396365, Val Loss: 0.212323859333992, Train Acc: 0.84625, Val Acc: 0.8949999809265137
Epoch 80/1000, Train Loss: 0.28298367470502855, Val Loss: 0.20831884443759918, Train Acc: 0.855, Val Acc: 0.8949999809265137
Epoch 90/1000, Train Loss: 0.2688012644648552, Val Loss: 0.19764360785484314, Train Acc: 0.8675, Val Acc: 0.8949999809265137
Epoch 100/1000, Train Loss: 0.27333189666271207, Val Loss: 0.19453972578048706, Train Acc: 0.87875, Val Acc: 0.8949999809265137
Epoch 110/1000, Train Loss: 0.2470685151219368, Val Loss: 0.19210945069789886, Train Acc: 0.87875, Val Acc: 0.8999999761581421
Epoch 120/1000, Train Loss: 0.2319944366812706, Val Loss: 0.1899438500404358, Train Acc: 0.9, Val Acc: 0.8949999809265137
Epoch 130/1000, Train Loss: 0.25271023869514464, Val Loss: 0.18395887315273285, Train Acc: 0.875, Val Acc: 0.8999999761581421
Epoch 140/1000, Train Loss: 0.26190245419740676, Val Loss: 0.1823042631149292, Train Acc: 0.8875, Val Acc: 0.8999999761581421
Epoch 150/1000, Train Loss: 0.23987936168909074, Val Loss: 0.1805269569158554, Train Acc: 0.8975, Val Acc: 0.8999999761581421
Epoch 160/1000, Train Loss: 0.2395745950937271, Val Loss: 0.17946337163448334, Train Acc: 0.88375, Val Acc: 0.9049999713897705
Epoch 170/1000, Train Loss: 0.22752371966838836, Val Loss: 0.18206603825092316, Train Acc: 0.88375, Val Acc: 0.9049999713897705
Epoch 180/1000, Train Loss: 0.21182833045721053, Val Loss: 0.17606225609779358, Train Acc: 0.8975, Val Acc: 0.9049999713897705
Epoch 190/1000, Train Loss: 0.2334145101904869, Val Loss: 0.17874284088611603, Train Acc: 0.8775, Val Acc: 0.9049999713897705
Epoch 200/1000, Train Loss: 0.22639868825674056, Val Loss: 0.17346274852752686, Train Acc: 0.8825, Val Acc: 0.8999999761581421
Epoch 210/1000, Train Loss: 0.23180479392409326, Val Loss: 0.17193710803985596, Train Acc: 0.8725, Val Acc: 0.9049999713897705
Epoch 220/1000, Train Loss: 0.2234540808200836, Val Loss: 0.17376157641410828, Train Acc: 0.8825, Val Acc: 0.8999999761581421
Epoch 230/1000, Train Loss: 0.21819186478853225, Val Loss: 0.17367281019687653, Train Acc: 0.895, Val Acc: 0.8999999761581421
Epoch 240/1000, Train Loss: 0.20124291226267815, Val Loss: 0.1702454537153244, Train Acc: 0.90125, Val Acc: 0.8999999761581421
Epoch 250/1000, Train Loss: 0.20636649459600448, Val Loss: 0.16982010006904602, Train Acc: 0.89, Val Acc: 0.8999999761581421
Epoch 260/1000, Train Loss: 0.21211633145809172, Val Loss: 0.17864955961704254, Train Acc: 0.8925, Val Acc: 0.8999999761581421
Epoch 270/1000, Train Loss: 0.20929799541831018, Val Loss: 0.17374207079410553, Train Acc: 0.89875, Val Acc: 0.8999999761581421
Epoch 280/1000, Train Loss: 0.19930894076824188, Val Loss: 0.17037390172481537, Train Acc: 0.90625, Val Acc: 0.8999999761581421
Epoch 290/1000, Train Loss: 0.20253513485193253, Val Loss: 0.1666850596666336, Train Acc: 0.89625, Val Acc: 0.9049999713897705
Epoch 300/1000, Train Loss: 0.21485766112804414, Val Loss: 0.17140722274780273, Train Acc: 0.89875, Val Acc: 0.9049999713897705
Epoch 310/1000, Train Loss: 0.19693050026893616, Val Loss: 0.17017780244350433, Train Acc: 0.90875, Val Acc: 0.9049999713897705
Epoch 320/1000, Train Loss: 0.18037884622812272, Val Loss: 0.16740696132183075, Train Acc: 0.91375, Val Acc: 0.9049999713897705
Epoch 330/1000, Train Loss: 0.2067026299238205, Val Loss: 0.1669372171163559, Train Acc: 0.9, Val Acc: 0.9049999713897705
Epoch 340/1000, Train Loss: 0.2168011212348938, Val Loss: 0.16760173439979553, Train Acc: 0.89375, Val Acc: 0.9049999713897705
Epoch 350/1000, Train Loss: 0.20306105628609658, Val Loss: 0.1682211458683014, Train Acc: 0.8975, Val Acc: 0.9049999713897705
Epoch 360/1000, Train Loss: 0.20984373033046722, Val Loss: 0.17298036813735962, Train Acc: 0.9, Val Acc: 0.8999999761581421
Epoch 370/1000, Train Loss: 0.19182839661836623, Val Loss: 0.16549479961395264, Train Acc: 0.90875, Val Acc: 0.9049999713897705
Epoch 380/1000, Train Loss: 0.18737624749541282, Val Loss: 0.16389217972755432, Train Acc: 0.90625, Val Acc: 0.9100000262260437
Epoch 390/1000, Train Loss: 0.1886733415722847, Val Loss: 0.167020782828331, Train Acc: 0.9025, Val Acc: 0.8999999761581421
