Epoch 0/1000, Train Loss: 1.1912263560295104, Val Loss: 0.46390464901924133, Train Acc: 0.52375, Val Acc: 0.8299999833106995
Epoch 10/1000, Train Loss: 0.4740100240707397, Val Loss: 0.28049689531326294, Train Acc: 0.775, Val Acc: 0.8650000095367432
Epoch 20/1000, Train Loss: 0.380730494260788, Val Loss: 0.26810935139656067, Train Acc: 0.80875, Val Acc: 0.875
Epoch 30/1000, Train Loss: 0.3799449241161346, Val Loss: 0.24179023504257202, Train Acc: 0.8025, Val Acc: 0.8700000047683716
Epoch 40/1000, Train Loss: 0.33454583287239076, Val Loss: 0.23053117096424103, Train Acc: 0.83, Val Acc: 0.8799999952316284
Epoch 50/1000, Train Loss: 0.3309897953271866, Val Loss: 0.22399061918258667, Train Acc: 0.8375, Val Acc: 0.8849999904632568
Epoch 60/1000, Train Loss: 0.29604167997837066, Val Loss: 0.2204752117395401, Train Acc: 0.84875, Val Acc: 0.8949999809265137
Epoch 70/1000, Train Loss: 0.26789567828178407, Val Loss: 0.20825636386871338, Train Acc: 0.87375, Val Acc: 0.8949999809265137
Epoch 80/1000, Train Loss: 0.30437264531850816, Val Loss: 0.20520639419555664, Train Acc: 0.84875, Val Acc: 0.8949999809265137
Epoch 90/1000, Train Loss: 0.269391353726387, Val Loss: 0.19830943644046783, Train Acc: 0.86, Val Acc: 0.8949999809265137
Epoch 100/1000, Train Loss: 0.2756356304883957, Val Loss: 0.1943640559911728, Train Acc: 0.86625, Val Acc: 0.8949999809265137
Epoch 110/1000, Train Loss: 0.2652950608730316, Val Loss: 0.19196271896362305, Train Acc: 0.87375, Val Acc: 0.8949999809265137
Epoch 120/1000, Train Loss: 0.26097678661346435, Val Loss: 0.18732798099517822, Train Acc: 0.8675, Val Acc: 0.8999999761581421
