Epoch 0/1000, Train Loss: 1.0302050256729125, Val Loss: 0.38517501950263977, Train Acc: 0.54875, Val Acc: 0.8799999952316284
Epoch 10/1000, Train Loss: 0.4274364233016968, Val Loss: 0.2774588465690613, Train Acc: 0.8, Val Acc: 0.875
Epoch 20/1000, Train Loss: 0.3609828341007233, Val Loss: 0.25323227047920227, Train Acc: 0.8175, Val Acc: 0.875
Epoch 30/1000, Train Loss: 0.35549015551805496, Val Loss: 0.24584022164344788, Train Acc: 0.83125, Val Acc: 0.8899999856948853
Epoch 40/1000, Train Loss: 0.32816613256931304, Val Loss: 0.23060382902622223, Train Acc: 0.82125, Val Acc: 0.8849999904632568
Epoch 50/1000, Train Loss: 0.33045861721038816, Val Loss: 0.2261696308851242, Train Acc: 0.81375, Val Acc: 0.8849999904632568
Epoch 60/1000, Train Loss: 0.29431181609630586, Val Loss: 0.2172871232032776, Train Acc: 0.8575, Val Acc: 0.8949999809265137
Epoch 70/1000, Train Loss: 0.29466487884521486, Val Loss: 0.2104012370109558, Train Acc: 0.85125, Val Acc: 0.8949999809265137
Epoch 80/1000, Train Loss: 0.2634854382276535, Val Loss: 0.20179887115955353, Train Acc: 0.86625, Val Acc: 0.8949999809265137
Epoch 90/1000, Train Loss: 0.2579036518931389, Val Loss: 0.19526170194149017, Train Acc: 0.8725, Val Acc: 0.8949999809265137
Epoch 100/1000, Train Loss: 0.27934794902801513, Val Loss: 0.18943771719932556, Train Acc: 0.8575, Val Acc: 0.8949999809265137
Epoch 110/1000, Train Loss: 0.259615415930748, Val Loss: 0.18879714608192444, Train Acc: 0.87375, Val Acc: 0.8949999809265137
Epoch 120/1000, Train Loss: 0.2664113187789917, Val Loss: 0.1851189285516739, Train Acc: 0.87125, Val Acc: 0.8949999809265137
Epoch 130/1000, Train Loss: 0.25487025737762453, Val Loss: 0.18153631687164307, Train Acc: 0.875, Val Acc: 0.8949999809265137
Epoch 140/1000, Train Loss: 0.2337256669998169, Val Loss: 0.18292953073978424, Train Acc: 0.88625, Val Acc: 0.8999999761581421
Epoch 150/1000, Train Loss: 0.23442672431468964, Val Loss: 0.18305549025535583, Train Acc: 0.88375, Val Acc: 0.8949999809265137
Epoch 160/1000, Train Loss: 0.23562922120094298, Val Loss: 0.17496313154697418, Train Acc: 0.88375, Val Acc: 0.9049999713897705
Epoch 170/1000, Train Loss: 0.23267518013715743, Val Loss: 0.1758720576763153, Train Acc: 0.8875, Val Acc: 0.8999999761581421
Epoch 180/1000, Train Loss: 0.22978452011942863, Val Loss: 0.1760970950126648, Train Acc: 0.8775, Val Acc: 0.9049999713897705
Epoch 190/1000, Train Loss: 0.21482831135392189, Val Loss: 0.17722173035144806, Train Acc: 0.89625, Val Acc: 0.9049999713897705
Epoch 200/1000, Train Loss: 0.22034537434577942, Val Loss: 0.1730961948633194, Train Acc: 0.90125, Val Acc: 0.9100000262260437
Epoch 210/1000, Train Loss: 0.21491627603769303, Val Loss: 0.17991189658641815, Train Acc: 0.90125, Val Acc: 0.9049999713897705
Epoch 220/1000, Train Loss: 0.2033928295969963, Val Loss: 0.17276616394519806, Train Acc: 0.90375, Val Acc: 0.9049999713897705
Epoch 230/1000, Train Loss: 0.2205608406662941, Val Loss: 0.16998271644115448, Train Acc: 0.895, Val Acc: 0.9049999713897705
Epoch 240/1000, Train Loss: 0.24066081523895264, Val Loss: 0.1746816188097, Train Acc: 0.88625, Val Acc: 0.8999999761581421
Epoch 250/1000, Train Loss: 0.22684612601995469, Val Loss: 0.17009903490543365, Train Acc: 0.89375, Val Acc: 0.8999999761581421
Epoch 260/1000, Train Loss: 0.19412487611174584, Val Loss: 0.16961798071861267, Train Acc: 0.91375, Val Acc: 0.8999999761581421
Epoch 270/1000, Train Loss: 0.2238043627142906, Val Loss: 0.17314010858535767, Train Acc: 0.8875, Val Acc: 0.8999999761581421
Epoch 280/1000, Train Loss: 0.20227532148361205, Val Loss: 0.1700621396303177, Train Acc: 0.90625, Val Acc: 0.8999999761581421
Epoch 290/1000, Train Loss: 0.22526655852794647, Val Loss: 0.1690143197774887, Train Acc: 0.8775, Val Acc: 0.8999999761581421
Epoch 300/1000, Train Loss: 0.22309329360723495, Val Loss: 0.16950871050357819, Train Acc: 0.88, Val Acc: 0.8999999761581421
Epoch 310/1000, Train Loss: 0.20502331465482712, Val Loss: 0.16779367625713348, Train Acc: 0.90375, Val Acc: 0.9049999713897705
Epoch 320/1000, Train Loss: 0.20358908012509347, Val Loss: 0.16845561563968658, Train Acc: 0.90125, Val Acc: 0.8999999761581421
Epoch 330/1000, Train Loss: 0.19781119659543037, Val Loss: 0.16694076359272003, Train Acc: 0.89625, Val Acc: 0.9100000262260437
Epoch 340/1000, Train Loss: 0.20395501226186752, Val Loss: 0.16921772062778473, Train Acc: 0.91, Val Acc: 0.9100000262260437
Epoch 350/1000, Train Loss: 0.20622449547052382, Val Loss: 0.16787490248680115, Train Acc: 0.89, Val Acc: 0.8999999761581421
Epoch 360/1000, Train Loss: 0.19456340700387956, Val Loss: 0.16669002175331116, Train Acc: 0.8925, Val Acc: 0.9049999713897705
Epoch 370/1000, Train Loss: 0.19973043635487556, Val Loss: 0.16758304834365845, Train Acc: 0.9025, Val Acc: 0.9049999713897705
Epoch 380/1000, Train Loss: 0.19333386316895484, Val Loss: 0.17470239102840424, Train Acc: 0.91, Val Acc: 0.9049999713897705
Epoch 390/1000, Train Loss: 0.1934569887816906, Val Loss: 0.16511717438697815, Train Acc: 0.90625, Val Acc: 0.9100000262260437
Epoch 400/1000, Train Loss: 0.19341199308633805, Val Loss: 0.1663452386856079, Train Acc: 0.90875, Val Acc: 0.9049999713897705
Epoch 410/1000, Train Loss: 0.20184487208724022, Val Loss: 0.1697501689195633, Train Acc: 0.90125, Val Acc: 0.9049999713897705
Epoch 420/1000, Train Loss: 0.19084354996681213, Val Loss: 0.16993486881256104, Train Acc: 0.9075, Val Acc: 0.9049999713897705
Epoch 430/1000, Train Loss: 0.1919753509759903, Val Loss: 0.16529777646064758, Train Acc: 0.9075, Val Acc: 0.9049999713897705
Epoch 440/1000, Train Loss: 0.20673360288143158, Val Loss: 0.16771481931209564, Train Acc: 0.905, Val Acc: 0.8999999761581421
Epoch 450/1000, Train Loss: 0.18691094763576985, Val Loss: 0.169138103723526, Train Acc: 0.9025, Val Acc: 0.9049999713897705
Epoch 460/1000, Train Loss: 0.1904830303788185, Val Loss: 0.17375750839710236, Train Acc: 0.90125, Val Acc: 0.9100000262260437
Epoch 470/1000, Train Loss: 0.21979766368865966, Val Loss: 0.17119762301445007, Train Acc: 0.895, Val Acc: 0.9049999713897705
Epoch 480/1000, Train Loss: 0.21609996914863586, Val Loss: 0.17754264175891876, Train Acc: 0.88625, Val Acc: 0.9049999713897705
Epoch 490/1000, Train Loss: 0.1907618075609207, Val Loss: 0.16833466291427612, Train Acc: 0.91875, Val Acc: 0.9049999713897705
Epoch 500/1000, Train Loss: 0.1818722028285265, Val Loss: 0.1674543023109436, Train Acc: 0.91375, Val Acc: 0.9100000262260437
Epoch 510/1000, Train Loss: 0.19791634291410445, Val Loss: 0.16969314217567444, Train Acc: 0.9025, Val Acc: 0.9100000262260437
Epoch 520/1000, Train Loss: 0.18063300102949142, Val Loss: 0.16392633318901062, Train Acc: 0.9025, Val Acc: 0.9100000262260437
Epoch 530/1000, Train Loss: 0.16944567501544952, Val Loss: 0.1770339161157608, Train Acc: 0.9175, Val Acc: 0.9100000262260437
Epoch 540/1000, Train Loss: 0.17167933806777, Val Loss: 0.1671907752752304, Train Acc: 0.915, Val Acc: 0.9049999713897705
Epoch 550/1000, Train Loss: 0.16919540114700793, Val Loss: 0.16962356865406036, Train Acc: 0.92125, Val Acc: 0.9049999713897705
Epoch 560/1000, Train Loss: 0.18880783006548882, Val Loss: 0.17354510724544525, Train Acc: 0.91125, Val Acc: 0.9049999713897705
Epoch 570/1000, Train Loss: 0.18932983458042144, Val Loss: 0.16803790628910065, Train Acc: 0.90875, Val Acc: 0.9049999713897705
Epoch 580/1000, Train Loss: 0.1842978471517563, Val Loss: 0.17693942785263062, Train Acc: 0.91125, Val Acc: 0.9049999713897705
Epoch 590/1000, Train Loss: 0.18010638520121575, Val Loss: 0.1696004718542099, Train Acc: 0.90875, Val Acc: 0.9049999713897705
Epoch 600/1000, Train Loss: 0.20745275616645814, Val Loss: 0.17671449482440948, Train Acc: 0.90625, Val Acc: 0.9049999713897705
Epoch 610/1000, Train Loss: 0.19450972154736518, Val Loss: 0.16864213347434998, Train Acc: 0.905, Val Acc: 0.8999999761581421
Epoch 620/1000, Train Loss: 0.18713825672864914, Val Loss: 0.171624094247818, Train Acc: 0.9075, Val Acc: 0.8999999761581421
Epoch 630/1000, Train Loss: 0.1842449552565813, Val Loss: 0.16288302838802338, Train Acc: 0.91625, Val Acc: 0.9100000262260437
Epoch 640/1000, Train Loss: 0.1895783418416977, Val Loss: 0.16428247094154358, Train Acc: 0.90625, Val Acc: 0.9049999713897705
Epoch 650/1000, Train Loss: 0.1950703026354313, Val Loss: 0.16667664051055908, Train Acc: 0.91375, Val Acc: 0.9049999713897705
Epoch 660/1000, Train Loss: 0.1755860474705696, Val Loss: 0.1672813594341278, Train Acc: 0.9175, Val Acc: 0.9100000262260437
Epoch 670/1000, Train Loss: 0.18932665556669234, Val Loss: 0.17532968521118164, Train Acc: 0.905, Val Acc: 0.9100000262260437
Epoch 680/1000, Train Loss: 0.1903679269552231, Val Loss: 0.1654588133096695, Train Acc: 0.90375, Val Acc: 0.9100000262260437
Epoch 690/1000, Train Loss: 0.20793663263320922, Val Loss: 0.1727273315191269, Train Acc: 0.89625, Val Acc: 0.9100000262260437
Epoch 700/1000, Train Loss: 0.17592715099453926, Val Loss: 0.1651109755039215, Train Acc: 0.92, Val Acc: 0.9049999713897705
Epoch 710/1000, Train Loss: 0.19913749545812606, Val Loss: 0.16996099054813385, Train Acc: 0.905, Val Acc: 0.9049999713897705
Epoch 720/1000, Train Loss: 0.1783272035419941, Val Loss: 0.17415250837802887, Train Acc: 0.90875, Val Acc: 0.9049999713897705
Epoch 730/1000, Train Loss: 0.18331402838230132, Val Loss: 0.16300468146800995, Train Acc: 0.9075, Val Acc: 0.9100000262260437
Epoch 740/1000, Train Loss: 0.1848319326341152, Val Loss: 0.17058521509170532, Train Acc: 0.915, Val Acc: 0.9100000262260437
Epoch 750/1000, Train Loss: 0.18586459428071975, Val Loss: 0.16152729094028473, Train Acc: 0.905, Val Acc: 0.8999999761581421
Epoch 760/1000, Train Loss: 0.18185858696699142, Val Loss: 0.16878019273281097, Train Acc: 0.9075, Val Acc: 0.9100000262260437
Epoch 770/1000, Train Loss: 0.18507181406021117, Val Loss: 0.1749437004327774, Train Acc: 0.90125, Val Acc: 0.9100000262260437
Epoch 780/1000, Train Loss: 0.17058618128299713, Val Loss: 0.16499446332454681, Train Acc: 0.92, Val Acc: 0.8949999809265137
Epoch 790/1000, Train Loss: 0.18064730614423752, Val Loss: 0.1618085652589798, Train Acc: 0.915, Val Acc: 0.9100000262260437
Epoch 800/1000, Train Loss: 0.17861515030264855, Val Loss: 0.17586620151996613, Train Acc: 0.91375, Val Acc: 0.9100000262260437
Epoch 810/1000, Train Loss: 0.20803340166807174, Val Loss: 0.1753917634487152, Train Acc: 0.90375, Val Acc: 0.9150000214576721
Epoch 820/1000, Train Loss: 0.18602307945489882, Val Loss: 0.17766804993152618, Train Acc: 0.91, Val Acc: 0.9100000262260437
Epoch 830/1000, Train Loss: 0.1787364086508751, Val Loss: 0.16934390366077423, Train Acc: 0.91875, Val Acc: 0.9049999713897705
Epoch 840/1000, Train Loss: 0.16817648947238922, Val Loss: 0.17616496980190277, Train Acc: 0.91875, Val Acc: 0.9150000214576721
Epoch 850/1000, Train Loss: 0.20297781482338906, Val Loss: 0.17327161133289337, Train Acc: 0.90375, Val Acc: 0.9150000214576721
Epoch 860/1000, Train Loss: 0.16511922769248485, Val Loss: 0.16862887144088745, Train Acc: 0.92, Val Acc: 0.9100000262260437
Epoch 870/1000, Train Loss: 0.17712083339691162, Val Loss: 0.16295768320560455, Train Acc: 0.91625, Val Acc: 0.9100000262260437
Epoch 880/1000, Train Loss: 0.18071021169424056, Val Loss: 0.17941933870315552, Train Acc: 0.9075, Val Acc: 0.9100000262260437
Epoch 890/1000, Train Loss: 0.19332083240151404, Val Loss: 0.17164255678653717, Train Acc: 0.90625, Val Acc: 0.9100000262260437
Epoch 900/1000, Train Loss: 0.17432029396295548, Val Loss: 0.16864876449108124, Train Acc: 0.92625, Val Acc: 0.9100000262260437
Epoch 910/1000, Train Loss: 0.17375770397484303, Val Loss: 0.17668327689170837, Train Acc: 0.9125, Val Acc: 0.9150000214576721
Epoch 920/1000, Train Loss: 0.18279732033610344, Val Loss: 0.1666709929704666, Train Acc: 0.91625, Val Acc: 0.9049999713897705
Epoch 930/1000, Train Loss: 0.1645622154325247, Val Loss: 0.16757142543792725, Train Acc: 0.93, Val Acc: 0.9150000214576721
Epoch 940/1000, Train Loss: 0.17446081191301346, Val Loss: 0.17126241326332092, Train Acc: 0.91125, Val Acc: 0.9100000262260437
Epoch 950/1000, Train Loss: 0.18396737068891525, Val Loss: 0.17099250853061676, Train Acc: 0.90625, Val Acc: 0.9100000262260437
Epoch 960/1000, Train Loss: 0.18458579123020172, Val Loss: 0.1796516627073288, Train Acc: 0.915, Val Acc: 0.9150000214576721
Epoch 970/1000, Train Loss: 0.17227818846702575, Val Loss: 0.1775556057691574, Train Acc: 0.91, Val Acc: 0.9150000214576721
Epoch 980/1000, Train Loss: 0.1812192226946354, Val Loss: 0.17292839288711548, Train Acc: 0.9125, Val Acc: 0.9150000214576721
Epoch 990/1000, Train Loss: 0.17348298482596874, Val Loss: 0.17304307222366333, Train Acc: 0.9125, Val Acc: 0.9150000214576721
