
Epoch 0/1000, Train Loss: 0.9996261811256408, Val Loss: 0.42728909850120544, Train Acc: 0.5575, Val Acc: 0.8550000190734863
Epoch 10/1000, Train Loss: 0.4965756976604462, Val Loss: 0.27776581048965454, Train Acc: 0.76625, Val Acc: 0.8650000095367432
Epoch 20/1000, Train Loss: 0.37955967128276824, Val Loss: 0.2524401843547821, Train Acc: 0.8125, Val Acc: 0.8700000047683716
Epoch 30/1000, Train Loss: 0.33894356787204744, Val Loss: 0.24294105172157288, Train Acc: 0.81625, Val Acc: 0.8700000047683716
Epoch 40/1000, Train Loss: 0.3010023182630539, Val Loss: 0.2299736589193344, Train Acc: 0.85375, Val Acc: 0.8799999952316284
Epoch 50/1000, Train Loss: 0.3170600393414497, Val Loss: 0.22917889058589935, Train Acc: 0.83875, Val Acc: 0.8899999856948853
Epoch 60/1000, Train Loss: 0.31446717530488966, Val Loss: 0.2241608053445816, Train Acc: 0.8375, Val Acc: 0.8849999904632568
Epoch 70/1000, Train Loss: 0.30888051390647886, Val Loss: 0.2114236056804657, Train Acc: 0.835, Val Acc: 0.8899999856948853
Epoch 80/1000, Train Loss: 0.286118723154068, Val Loss: 0.20637895166873932, Train Acc: 0.8575, Val Acc: 0.8949999809265137
Epoch 90/1000, Train Loss: 0.26404012113809583, Val Loss: 0.20004890859127045, Train Acc: 0.8775, Val Acc: 0.8949999809265137
Epoch 100/1000, Train Loss: 0.274948747754097, Val Loss: 0.20117010176181793, Train Acc: 0.86875, Val Acc: 0.8949999809265137
Epoch 110/1000, Train Loss: 0.26669261902570723, Val Loss: 0.19627639651298523, Train Acc: 0.8625, Val Acc: 0.8949999809265137
Epoch 120/1000, Train Loss: 0.2646716380119324, Val Loss: 0.19516080617904663, Train Acc: 0.8625, Val Acc: 0.8949999809265137
Epoch 130/1000, Train Loss: 0.23517173558473586, Val Loss: 0.18771284818649292, Train Acc: 0.88875, Val Acc: 0.8949999809265137
Epoch 140/1000, Train Loss: 0.2537126061320305, Val Loss: 0.18576855957508087, Train Acc: 0.85875, Val Acc: 0.8949999809265137
Epoch 150/1000, Train Loss: 0.25288212031126023, Val Loss: 0.18685124814510345, Train Acc: 0.87, Val Acc: 0.8949999809265137
Epoch 160/1000, Train Loss: 0.23464865878224372, Val Loss: 0.18437370657920837, Train Acc: 0.88625, Val Acc: 0.8949999809265137
Epoch 170/1000, Train Loss: 0.22131884217262268, Val Loss: 0.17707400023937225, Train Acc: 0.8875, Val Acc: 0.8949999809265137
Epoch 180/1000, Train Loss: 0.23966680884361266, Val Loss: 0.18370994925498962, Train Acc: 0.88375, Val Acc: 0.8949999809265137
Epoch 190/1000, Train Loss: 0.23200063064694404, Val Loss: 0.17643778026103973, Train Acc: 0.87875, Val Acc: 0.8949999809265137
Epoch 200/1000, Train Loss: 0.24658745899796486, Val Loss: 0.17933227121829987, Train Acc: 0.8675, Val Acc: 0.8999999761581421
Epoch 210/1000, Train Loss: 0.2340136869251728, Val Loss: 0.17369557917118073, Train Acc: 0.885, Val Acc: 0.8999999761581421
Epoch 220/1000, Train Loss: 0.22199609667062759, Val Loss: 0.17400966584682465, Train Acc: 0.88875, Val Acc: 0.8949999809265137
